seed,config,n_observations,n_unique_datasets,regret_coverage,hit_best_rate,mean_regret,median_regret,p90_regret,zero_regret_rate,within_1pp_rate,chosen_accuracy_mean,oracle_accuracy_mean,domain
7,baseline_stats,48.0,48.0,0.9791666666666666,0.22916666666666666,0.01750683507947931,0.010163934426229426,0.043255876080821445,0.2765957446808511,0.48936170212765956,0.7959498600384479,0.8134566951179273,health
7,baseline_stats,35.0,35.0,0.9714285714285714,0.34285714285714286,0.025760701979427127,0.0018422070686609088,0.10352100669103559,0.4117647058823529,0.6176470588235294,0.843293114302782,0.8690538162822092,image
7,baseline_stats,164.0,164.0,1.0,0.3719512195121951,0.02725099060071003,0.003192600624107478,0.08833182776272216,0.40853658536585363,0.5975609756097561,0.8236875989739717,0.8509385895746815,other
7,baseline_stats,16.0,16.0,1.0,0.5625,0.01266908682183451,0.0,0.020257002113600375,0.625,0.8125,0.858733906827893,0.8714029936497275,sensor_signal
7,baseline_stats,26.0,26.0,0.9615384615384616,0.34615384615384615,0.020254381095989184,0.007999999999999896,0.059635006462731524,0.36,0.56,0.741661019957022,0.7619154010530115,social
7,baseline_stats,15.0,15.0,1.0,0.3333333333333333,0.020191976829522347,0.0009259259259256636,0.0656999671484064,0.4,0.6,0.7794392563592207,0.7996312331887433,text
7,real_domain_rank,143.0,143.0,0.993006993006993,0.4965034965034965,0.019546806988904965,0.0,0.05645,0.528169014084507,0.6901408450704225,0.7919529745485744,0.811499781537479,biology
7,real_domain_rank,40.0,40.0,1.0,0.4,0.029444265064669663,0.0007827118717716464,0.08927462762483326,0.45,0.675,0.8097356434634264,0.839179908528096,education
7,real_domain_rank,60.0,60.0,1.0,0.6333333333333333,0.022067320744589784,0.0,0.09105364741641342,0.65,0.7833333333333333,0.7121363757325943,0.7342036964771841,finance
7,real_domain_rank,48.0,48.0,0.9791666666666666,0.20833333333333334,0.019314070202741524,0.010163934426229426,0.03404122255066288,0.2553191489361702,0.48936170212765956,0.7941426249151858,0.8134566951179273,health
7,real_domain_rank,35.0,35.0,0.9714285714285714,0.4,0.019590113744133008,0.0002688450339694559,0.050889901888153,0.47058823529411764,0.6764705882352942,0.849463702538076,0.8690538162822092,image
7,real_domain_rank,164.0,164.0,1.0,0.36585365853658536,0.03538176985863405,0.004249989520393127,0.10111421989564819,0.4024390243902439,0.573170731707317,0.8155568197160474,0.8509385895746815,other
7,real_domain_rank,16.0,16.0,1.0,0.4375,0.021967062202084133,0.003692722371967716,0.07438380304199699,0.5,0.6875,0.8494359314476434,0.8714029936497275,sensor_signal
7,real_domain_rank,26.0,26.0,0.9615384615384616,0.23076923076923078,0.018695854392586357,0.009049648854132508,0.05772091161626385,0.24,0.56,0.743219546660425,0.7619154010530115,social
7,real_domain_rank,15.0,15.0,1.0,0.3333333333333333,0.013041162536839698,0.0009259259259256636,0.025878891679987803,0.4,0.6,0.7865900706519035,0.7996312331887433,text
11,baseline_stats,143.0,143.0,0.986013986013986,0.43356643356643354,0.023946498653349458,0.0006708092077388761,0.05708050816371946,0.46808510638297873,0.6595744680851063,0.7919335208266276,0.8158800194799769,biology
